artist,album,release_date,track_name,track_number,duration_ms
Aaliyah,Ultimate Aaliyah,2005-05-10,One In A Million,1,273026
Aaliyah,Ultimate Aaliyah,2005-05-10,If Your Girl Only Knew,2,292173
Aaliyah,Ultimate Aaliyah,2005-05-10,Hot Like Fire,3,264733
Aaliyah,Ultimate Aaliyah,2005-05-10,The One I Gave My Heart To,4,271800
Aaliyah,Ultimate Aaliyah,2005-05-10,Got To Give It Up (feat. Slick Rick),5,282026
Aaliyah,Ultimate Aaliyah,2005-05-10,4 Page Letter,6,293640
Aaliyah,Ultimate Aaliyah,2005-05-10,We Need A Resolution (feat. Timbaland),7,243600
Aaliyah,Ultimate Aaliyah,2005-05-10,Rock The Boat,8,275560
Aaliyah,Ultimate Aaliyah,2005-05-10,More Than A Woman,9,230466
Aaliyah,Ultimate Aaliyah,2005-05-10,I Care 4 U,10,276133
Aaliyah,Ultimate Aaliyah,2005-05-10,Try Again,11,286373
Aaliyah,Ultimate Aaliyah,2005-05-10,Back & Forth,12,231733
Aaliyah,Ultimate Aaliyah,2005-05-10,Are You That Somebody?,13,267626
Aaliyah,Ultimate Aaliyah,2005-05-10,Don't Know What To Tell Ya,14,303866
Aaliyah,Ultimate Aaliyah,2005-05-10,Miss You,15,247173
Aaliyah,Ultimate Aaliyah,2005-05-10,At Your Best (You Are Love),16,290560
Aaliyah,Ultimate Aaliyah,2005-05-10,Are You Feelin' Me?,1,192226
Aaliyah,Ultimate Aaliyah,2005-05-10,Messed Up,2,216373
Aaliyah,Ultimate Aaliyah,2005-05-10,Come Back in One Piece (feat. DMX),3,260200
Aaliyah,Ultimate Aaliyah,2005-05-10,I Don't Wanna,4,256560
Aaliyah,Ultimate Aaliyah,2005-05-10,Man Undercover,5,284106
Aaliyah,Ultimate Aaliyah,2005-05-10,John Blaze,6,242133
Aaliyah,Ultimate Aaliyah,2005-05-10,I Am Music,7,241466
Aaliyah,Ultimate Aaliyah,2005-05-10,More Than a Woman - Bump N Flex Club Mix,8,330333
Aaliyah,Ultimate Aaliyah,2005-05-10,Hold On (feat. Wyclef Jean),9,304666
Aaliyah,I Care 4 U,2002-12-10,Back & Forth,1,229933
Aaliyah,I Care 4 U,2002-12-10,Are You That Somebody?,2,265666
Aaliyah,I Care 4 U,2002-12-10,One In A Million,3,270760
Aaliyah,I Care 4 U,2002-12-10,I Care 4 U,4,273506
Aaliyah,I Care 4 U,2002-12-10,More Than A Woman,5,230360
Aaliyah,I Care 4 U,2002-12-10,Don't Know What to Tell Ya,6,301906
Aaliyah,I Care 4 U,2002-12-10,Try Again,7,284000
Aaliyah,I Care 4 U,2002-12-10,All I Need,8,188200
Aaliyah,I Care 4 U,2002-12-10,Miss You,9,245226
Aaliyah,I Care 4 U,2002-12-10,Don't Worry,10,231933
Aaliyah,I Care 4 U,2002-12-10,Come Over (feat. Tank),11,235106
Aaliyah,I Care 4 U,2002-12-10,Erica Kane,12,277666
Aaliyah,I Care 4 U,2002-12-10,At Your Best (You Are Love),13,290133
Aaliyah,I Care 4 U,2002-12-10,Got To Give It Up (Remix),14,237866
Aaliyah,I Care 4 U,2002-12-10,We Need A Resolution (feat. Timbaland),15,242266
Aaliyah,I Care 4 U,2002-12-10,Rock The Boat,16,275026
Aaliyah,Aaliyah,2001-07-07,We Need A Resolution (feat. Timbaland),1,242826
Aaliyah,Aaliyah,2001-07-07,Loose Rap (feat. Static Major),2,229800
Aaliyah,Aaliyah,2001-07-07,Rock The Boat,3,274733
Aaliyah,Aaliyah,2001-07-07,More Than A Woman,4,229866
Aaliyah,Aaliyah,2001-07-07,Never No More,5,238266
Aaliyah,Aaliyah,2001-07-07,I Care 4 U,6,273840
Aaliyah,Aaliyah,2001-07-07,Extra Smooth,7,234600
Aaliyah,Aaliyah,2001-07-07,Read Between The Lines,8,260560
Aaliyah,Aaliyah,2001-07-07,U Got Nerve,9,222706
Aaliyah,Aaliyah,2001-07-07,I Refuse,10,357026
Aaliyah,Aaliyah,2001-07-07,It's Whatever,11,248373
Aaliyah,Aaliyah,2001-07-07,I Can Be,12,179293
Aaliyah,Aaliyah,2001-07-07,Those Were The Days,13,204106
Aaliyah,Aaliyah,2001-07-07,What If,14,259959
Aaliyah,Aaliyah,2001-07-07,Try Again,15,284640
Aaliyah,One In A Million,1996-08-13,Beats 4 Da Streets (Intro),1,130773
Aaliyah,One In A Million,1996-08-13,Hot Like Fire,2,263266
Aaliyah,One In A Million,1996-08-13,One In A Million,3,270760
Aaliyah,One In A Million,1996-08-13,A Girl Like You (feat. Treach),4,262706
Aaliyah,One In A Million,1996-08-13,If Your Girl Only Knew,5,290960
Aaliyah,One In A Million,1996-08-13,Choosey Lover (Old School / New School),6,427866
Aaliyah,One In A Million,1996-08-13,Got To Give It Up (feat. Slick Rick),7,281040
Aaliyah,One In A Million,1996-08-13,4 Page Letter,8,292400
Aaliyah,One In A Million,1996-08-13,Everything's Gonna Be Alright,9,289666
Aaliyah,One In A Million,1996-08-13,Giving You More,10,265626
Aaliyah,One In A Million,1996-08-13,I Gotcha' Back,11,173573
Aaliyah,One In A Million,1996-08-13,Never Givin' Up (feat. Tavarius Polk),12,311693
Aaliyah,One In A Million,1996-08-13,Heartbroken,13,259066
Aaliyah,One In A Million,1996-08-13,Never Comin' Back,14,246066
Aaliyah,One In A Million,1996-08-13,Ladies In Da House (feat. Missy Elliott & Timbaland),15,260840
Aaliyah,One In A Million,1996-08-13,The One I Gave My Heart To,16,270933
Aaliyah,One In A Million,1996-08-13,Came To Give Love (Outro) [feat. Timbaland],17,100293
Aaliyah,One In A Million,1996-08-13,Hot Like Fire (Timbaland's Groove Mix) [feat. Missy Elliott & Timbaland] - Bonus,18,275425
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Intro,1,90360
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Throw Your Hands Up,2,214093
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Back & Forth,3,231093
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Age Ain't Nothing But a Number,4,253960
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Down with the Clique,5,204333
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,At Your Best (You Are Love),6,291400
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,No One Knows How to Love Me Quite Like You Do,7,247493
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,I'm So into You,8,205693
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Street Thing,9,298600
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Young Nation,10,280493
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Old School,11,197400
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,I'm Down,12,196026
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Back & Forth - Mr. Lee & R. Kelly's Remix,13,227093
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Intro-Iude,1,63304
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Creep,2,268533
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Kick Your Game,3,254133
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Diggin' On You,4,254560
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Case of the Fake People,5,244600
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,CrazySexyCool-Interlude,6,102173
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Red Light Special,7,303960
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Waterfalls,8,280496
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Intermission-lude,9,42693
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Let's Do it Again,10,256493
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,If I Was Your Girlfriend,11,276733
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Sexy-Interlude,12,94866
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Take Our Time,13,274000
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Can I Get a Witness-Interlude,14,177066
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Switch,15,210533
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Sumthin' Wicked This Way Comes,16,268200
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Creep - Pessto Radio Remix,17,188274
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Waterfalls - DE SOFFER Official Remix,18,237966
TLC,TLC,2017-06-30,No Introduction,1,182703
TLC,TLC,2017-06-30,Way Back,2,226804
TLC,TLC,2017-06-30,It's Sunny,3,203495
TLC,TLC,2017-06-30,Haters,4,160400
TLC,TLC,2017-06-30,Perfect Girls,5,185317
TLC,TLC,2017-06-30,Interlude,6,71433
TLC,TLC,2017-06-30,Start a Fire,7,242980
TLC,TLC,2017-06-30,American Gold,8,218980
TLC,TLC,2017-06-30,Scandalous,9,212536
TLC,TLC,2017-06-30,Aye Muthafucka,10,196141
TLC,TLC,2017-06-30,Joy Ride,11,258048
TLC,TLC,2017-06-30,Way Back (Extended Version),12,266222
TLC,3D,2002-10-10,3D Intro,1,144960
TLC,3D,2002-10-10,Quickie,2,259240
TLC,3D,2002-10-10,Girl Talk - Radio Mix,3,214760
TLC,3D,2002-10-10,Turntable,4,205466
TLC,3D,2002-10-10,In Your Arms Tonight,5,264640
TLC,3D,2002-10-10,Over Me,6,257200
TLC,3D,2002-10-10,Hands Up,7,228693
TLC,3D,2002-10-10,Damaged,8,231373
TLC,3D,2002-10-10,"Dirty, Dirty",9,220026
TLC,3D,2002-10-10,So So Dumb,10,245733
TLC,3D,2002-10-10,Good Love,11,252306
TLC,3D,2002-10-10,Hey Hey Hey Hey,12,245266
TLC,3D,2002-10-10,Give It to Me While It's Hot,13,208026
TLC,Fanmail,1999-02-23,FanMail,1,239333
TLC,Fanmail,1999-02-23,The Vic-E Interpretation - Interlude - Dirty Version,2,18973
TLC,Fanmail,1999-02-23,Silly Ho,3,255160
TLC,Fanmail,1999-02-23,Whispering Playa - Interlude,4,52066
TLC,Fanmail,1999-02-23,No Scrubs,5,214440
TLC,Fanmail,1999-02-23,I'm Good at Being Bad,6,277693
TLC,Fanmail,1999-02-23,If They Knew,7,244200
TLC,Fanmail,1999-02-23,I Miss You So Much,8,296600
TLC,Fanmail,1999-02-23,Unpretty,9,278000
TLC,Fanmail,1999-02-23,My Life,10,241800
TLC,Fanmail,1999-02-23,Shout,11,237640
TLC,Fanmail,1999-02-23,Come On Down,12,257266
TLC,Fanmail,1999-02-23,Dear Lie,13,310760
TLC,Fanmail,1999-02-23,Communicate - Interlude,14,51733
TLC,Fanmail,1999-02-23,Lovesick,15,232933
TLC,Fanmail,1999-02-23,Automatic,16,271400
TLC,Fanmail,1999-02-23,Don't Pull Out on Me Yet,17,273533
TLC,Crazysexycool,1994-11-15,Intro-Iude,1,62773
TLC,Crazysexycool,1994-11-15,Creep,2,268533
TLC,Crazysexycool,1994-11-15,Kick Your Game,3,254133
TLC,Crazysexycool,1994-11-15,Diggin' On You,4,254560
TLC,Crazysexycool,1994-11-15,Case of the Fake People,5,244600
TLC,Crazysexycool,1994-11-15,CrazySexyCool-Interlude,6,102173
TLC,Crazysexycool,1994-11-15,Red Light Special,7,303960
TLC,Crazysexycool,1994-11-15,Waterfalls,8,279506
TLC,Crazysexycool,1994-11-15,Intermission-lude,9,42693
TLC,Crazysexycool,1994-11-15,Let's Do it Again,10,256493
TLC,Crazysexycool,1994-11-15,If I Was Your Girlfriend,11,276733
TLC,Crazysexycool,1994-11-15,Sexy-Interlude,12,94866
TLC,Crazysexycool,1994-11-15,Take Our Time,13,274000
TLC,Crazysexycool,1994-11-15,Can I Get a Witness-Interlude,14,177066
TLC,Crazysexycool,1994-11-15,Switch,15,210533
TLC,Crazysexycool,1994-11-15,Sumthin' Wicked This Way Comes,16,268200
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intro,1,30866
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Ain't 2 Proud 2 Beg,2,336560
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Shock Dat Monkey,3,308573
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission I,4,19199
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Hat 2 da Back,5,256426
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Das Da Way We Like 'Em,6,301733
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,What About Your Friends,7,293600
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,His Story,8,263000
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission II,9,59666
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Bad By Myself,10,235933
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Somethin' You Wanna Know,11,342440
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Baby-Baby-Baby,12,315040
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,This Is How It Should Be Done,13,267933
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Depend on Myself,14,251066
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Conclusion,15,49000
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,God Bless the Child (Intro),1,74698
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,I Wanna Be Where You Are,2,243095
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Sunshine,3,291085
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Say It Ain't So,4,233964
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boy I Want You,5,220078
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Girls Tyme Fun,6,228000
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,632-5792,7,268794
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boyfriend,8,259924
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Teacher Fried My Brain,9,255233
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,When I Laid My Eyes On You,10,185016
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,In My City,11,247431
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Hip House,12,201049
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Blue Velvet,13,232571
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Take Em 2 Another Level,14,210419
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Talking 'Bout My Baby,15,205357
Destiny's Child,Destiny Fulfilled,2004-11-16,Lose My Breath,1,242013
Destiny's Child,Destiny Fulfilled,2004-11-16,Soldier (feat. T.I. & Lil' Wayne),2,325573
Destiny's Child,Destiny Fulfilled,2004-11-16,Cater 2 U,3,245400
Destiny's Child,Destiny Fulfilled,2004-11-16,T-Shirt,4,280200
Destiny's Child,Destiny Fulfilled,2004-11-16,Is She The Reason,5,286773
Destiny's Child,Destiny Fulfilled,2004-11-16,Girl,6,224146
Destiny's Child,Destiny Fulfilled,2004-11-16,Bad Habit,7,234706
Destiny's Child,Destiny Fulfilled,2004-11-16,If,8,255880
Destiny's Child,Destiny Fulfilled,2004-11-16,Free,9,291706
Destiny's Child,Destiny Fulfilled,2004-11-16,Through With Love,10,215493
Destiny's Child,Destiny Fulfilled,2004-11-16,Love,11,270146
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Home For The Holidays,1,190200
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Rudolph The Red-Nosed Reindeer - Single Version,2,151200
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,8 Days of Christmas,3,209373
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Winter Paradise,4,216200
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,"A ""DC"" Christmas Medley",5,239360
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Silent Night (feat. Beyoncé Knowles),6,221360
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Little Drummer Boy (feat. Solange),7,216066
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Do You Hear What I Hear? (feat. Kelly Rowland),8,227160
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,White Christmas,9,103000
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Platinum Bells,10,85000
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,O' Holy Night (feat. Michelle Williams),11,263666
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Spread a Little Love On Christmas Day,12,221133
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,This Christmas,13,218160
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Carol of the Bells a.k.a Opera of the Bells,14,274973
Destiny's Child,Survivor,2001-05-01,"Independent Women, Pt. 1",1,221626
Destiny's Child,Survivor,2001-05-01,Survivor,2,254040
Destiny's Child,Survivor,2001-05-01,Bootylicious,3,207733
Destiny's Child,Survivor,2001-05-01,Nasty Girl,4,257826
Destiny's Child,Survivor,2001-05-01,Fancy,5,252973
Destiny's Child,Survivor,2001-05-01,Apple Pie À La Mode,6,178533
Destiny's Child,Survivor,2001-05-01,Sexy Daddy,7,246826
Destiny's Child,Survivor,2001-05-01,Perfect Man,8,221840
Destiny's Child,Survivor,2001-05-01,Independent Women Pt. II,9,225933
Destiny's Child,Survivor,2001-05-01,Happy Face,10,259866
Destiny's Child,Survivor,2001-05-01,Dance With Me,11,223960
Destiny's Child,Survivor,2001-05-01,My Heart Still Beats - Featuring Beyoncé,12,248106
Destiny's Child,Survivor,2001-05-01,Emotion,13,236400
Destiny's Child,Survivor,2001-05-01,Brown Eyes,14,276093
Destiny's Child,Survivor,2001-05-01,Dangerously In Love,15,306306
Destiny's Child,Survivor,2001-05-01,The Story Of Beauty,16,210200
Destiny's Child,Survivor,2001-05-01,Gospel Medley,17,204840
Destiny's Child,Survivor,2001-05-01,Outro (DC-3) Thank You,18,242933
Destiny's Child,The Writing's On The Wall,1999-07-27,Intro (The Writing's On The Wall),1,125466
Destiny's Child,The Writing's On The Wall,1999-07-27,So Good,2,193933
Destiny's Child,The Writing's On The Wall,1999-07-27,"Bills, Bills, Bills",3,256026
Destiny's Child,The Writing's On The Wall,1999-07-27,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",4,297333
Destiny's Child,The Writing's On The Wall,1999-07-27,Bug a Boo,5,212440
Destiny's Child,The Writing's On The Wall,1999-07-27,Temptation,6,245600
Destiny's Child,The Writing's On The Wall,1999-07-27,Now That She's Gone,7,335466
Destiny's Child,The Writing's On The Wall,1999-07-27,Where'd You Go,8,255266
Destiny's Child,The Writing's On The Wall,1999-07-27,Hey Ladies,9,255933
Destiny's Child,The Writing's On The Wall,1999-07-27,If You Leave (feat. Next),10,275160
Destiny's Child,The Writing's On The Wall,1999-07-27,"Jumpin', Jumpin'",11,230200
Destiny's Child,The Writing's On The Wall,1999-07-27,Say My Name,12,271333
Destiny's Child,The Writing's On The Wall,1999-07-27,She Can't Love You,13,244866
Destiny's Child,The Writing's On The Wall,1999-07-27,Stay,14,291240
Destiny's Child,The Writing's On The Wall,1999-07-27,Sweet Sixteen,15,252733
Destiny's Child,The Writing's On The Wall,1999-07-27,Outro (Amazing Grace...dedicated to Andretta Tillman),16,158426
Destiny's Child,Destiny's Child,1998-02-17,Second Nature,1,308400
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No Pt. 2 (feat. Wyclef Jean)",2,207466
Destiny's Child,Destiny's Child,1998-02-17,With Me Part I,3,206733
Destiny's Child,Destiny's Child,1998-02-17,Tell Me,4,288066
Destiny's Child,Destiny's Child,1998-02-17,Bridges,5,241840
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No, Pt. 1",6,247040
Destiny's Child,Destiny's Child,1998-02-17,With Me Part II (featuring Master P),7,254333
Destiny's Child,Destiny's Child,1998-02-17,Show Me The Way,8,257666
Destiny's Child,Destiny's Child,1998-02-17,Killing Time,9,307160
Destiny's Child,Destiny's Child,1998-02-17,Illusion,10,231373
Destiny's Child,Destiny's Child,1998-02-17,Birthday,11,314800
Destiny's Child,Destiny's Child,1998-02-17,Sail On,12,243706
Destiny's Child,Destiny's Child,1998-02-17,My Time Has Come (Dedicated To Andretta Tillman),13,263106
Usher,Confessions (20th Anniversary Edition),2024-11-01,Intro,1,46883
Usher,Confessions (20th Anniversary Edition),2024-11-01,Yeah! (feat. Lil Jon & Ludacris),2,250182
Usher,Confessions (20th Anniversary Edition),2024-11-01,Throwback (feat. Jadakiss),3,287111
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions,4,260625
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions Part II,5,211023
Usher,Confessions (20th Anniversary Edition),2024-11-01,Burn,6,231933
Usher,Confessions (20th Anniversary Edition),2024-11-01,Caught Up,7,224814
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar - Interlude,8,64684
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar,9,191340
Usher,Confessions (20th Anniversary Edition),2024-11-01,Truth Hurts,10,218073
Usher,Confessions (20th Anniversary Edition),2024-11-01,Simple Things,11,280403
Usher,Confessions (20th Anniversary Edition),2024-11-01,Bad Girl,12,261861
Usher,Confessions (20th Anniversary Edition),2024-11-01,That's What It's Made For,13,277828
Usher,Confessions (20th Anniversary Edition),2024-11-01,Can U Handle It?,14,279360
Usher,Confessions (20th Anniversary Edition),2024-11-01,Do It To Me,15,213932
Usher,Confessions (20th Anniversary Edition),2024-11-01,Take Your Hand,16,165667
Usher,Confessions (20th Anniversary Edition),2024-11-01,Follow Me,17,193553
Usher,Confessions (20th Anniversary Edition),2024-11-01,My Boo,18,223219
Usher,Confessions (20th Anniversary Edition),2024-11-01,Red Light,19,288517
Usher,Confessions (20th Anniversary Edition),2024-11-01,Seduction,20,273508
